"","ks4score","fiveac","fiveem","k3en","k3ma","k3sc","gender","SECshort","hiquamum","singlepar","house","fsm","parasp","computer","tuition","pupasp","homework","attitude","sen","truancy","absent","exclude","IDACI_n","FSMband"
"1",1064,"yes","yes",6,8,7,"Male","Managerial_and_professional","GCE_A_Level_or_equivalent","no","owned","no","Yes","Yes","No","Yes","5_evenings","very_high","Yes","No","No","No",-0.007239480314113,"<5pr"
"2",934,"yes","yes",7,8,7,"Male","Managerial_and_professional","No_qualification","no","owned","no","Yes","Yes","No","Yes","4_evenings","very_high","No","No","No","No",-1.20482274821239,"9pr-13pr"
"3",921,"yes","yes",5,7,6,"Male","Intermediate","GCSE_grades_A-C_or_equiv","no","rented","no","Yes","Yes","No","Yes","5_evenings","very_high","No","No","No","No",0.096249676077043,"9pr-13pr"
"4",895.5,"yes","yes",7,8,7,"Female","Managerial_and_professional","Degree_or_equivalent","no","owned","no","Yes","Yes","No","Yes","5_evenings","very_low","No","Yes","No","No",-0.51069352877627,"<5pr"
"5",886,"yes","yes",6,6,5,"Male","Managerial_and_professional","HE_below_degree_level","no","owned","no","Yes","Yes","No","Yes","2_evenings","very_high","No","No","No","No",-0.78963462488382,"9pr-13pr"
"6",876,"yes","yes",6,7,6,"Female","Managerial_and_professional","GCSE_grades_A-C_or_equiv","yes","rented","no","Yes","Yes","No","Yes","5_evenings","low","No","No","No","No",-1.46299326233194,"5pr-9pr"
"7",868,"yes","yes",7,7,6,"Female","Managerial_and_professional","HE_below_degree_level","no","owned","no","Yes","Yes","No","Yes","1_evening","high","No","No","No","No",-0.412778436862193,"9pr-13pr"
"8",849,"yes","yes",6,6,5,"Female","Intermediate","GCSE_grades_A-C_or_equiv","no","rented","no","Yes","Yes","No","Yes","3_evenings","high","No","No","No","No",1.28111766541468,"21pr-35pr"
"9",848,"yes","yes",7,8,7,"Female","Managerial_and_professional","GCE_A_Level_or_equivalent","yes","rented","no","Yes","Yes","No","No","5_evenings","high","No","No","No","No",-0.403699347551647,"5pr-9pr"
"10",843,"yes","yes",6,8,7,"Male","Routine,_semi-routine_or_unemployed","GCSE_grades_A-C_or_equiv","no","owned","no","Yes","Yes","No","Yes","5_evenings","low","No","No","No","No",0.264712512491035,"21pr-35pr"
"11",842,"yes","yes",5,6,6,"Male","Routine,_semi-routine_or_unemployed","No_qualification","no","rented","yes","Yes","Yes","No","Yes","5_evenings","very_high","No","No","No","No",1.41570315608676,"35pr+"
"13",838,"yes","yes",7,7,7,"Female","Managerial_and_professional","HE_below_degree_level","yes","owned","no","Yes","Yes","Yes","Yes","5_evenings","very_high","No","No","No","No",-0.81222010651049,"21pr-35pr"
"14",836,"yes","no",5,6,5,"Female","Routine,_semi-routine_or_unemployed","GCSE_grades_A-C_or_equiv","yes","rented","yes","Yes","Yes","No","Yes","3_evenings","very_high","No","No","No","No",1.25010702605048,"21pr-35pr"
"15",836,"yes","yes",6,6,5,"Male","Managerial_and_professional","No_qualification","no","owned","no","Yes","Yes","No","Yes","2_evenings","high","No","No","No","No",1.81999856317266,"35pr+"
"16",829,"yes","yes",7,8,7,"Male","Managerial_and_professional","HE_below_degree_level","no","owned","no","Yes","Yes","No","Yes","5_evenings","very_high","No","No","No","No",-1.11134431276001,"<5pr"
"17",828.5,"yes","yes",7,8,7,"Female","Managerial_and_professional","Degree_or_equivalent","no","owned","no","Yes","Yes","No","Yes","4_evenings","low","No","No","No","No",-0.665515741585269,"<5pr"
"18",827,"yes","yes",6,8,7,"Female","Managerial_and_professional","HE_below_degree_level","no","owned","yes","Yes","Yes","No","Yes","5_evenings","very_high","No","No","No","No",0.507523865415732,"35pr+"
"19",826,"yes","yes",7,7,7,"Male","Routine,_semi-routine_or_unemployed","No_qualification","yes","owned","yes","Yes","Yes","No","Yes","5_evenings","very_high","No","No","No","No",-0.721885072624075,"13pr-21pr"
"20",824,"yes","yes",6,7,6,"Female","Routine,_semi-routine_or_unemployed","No_qualification","no","rented","yes","Yes","Yes","No","Yes","1_evening","very_low","No","No","missing","missing",1.81295801197914,"35pr+"
"21",816,"yes","yes",6,8,7,"Female","Managerial_and_professional","HE_below_degree_level","no","owned","no","Yes","Yes","No","Yes","4_evenings","high","No","No","No","No",-1.57349724397116,"<5pr"
"25",808,"yes","yes",7,8,7,"Male","Managerial_and_professional","HE_below_degree_level","no","owned","no","Yes","Yes","No","Yes","3_evenings","low","No","No","No","No",-1.06083839594191,"5pr-9pr"
"26",806,"yes","yes",7,8,7,"Male","Routine,_semi-routine_or_unemployed","No_qualification","no","owned","no","Yes","Yes","No","Yes","4_evenings","high","No","No","No","No",0.080037174287942,"13pr-21pr"
"27",805,"yes","yes",7,7,7,"Female","Intermediate","GCE_A_Level_or_equivalent","no","owned","no","Yes","Yes","No","Yes","3_evenings","very_high","No","No","No","No",-1.13042928368579,"5pr-9pr"
"28",805,"yes","yes",7,7,6,"Female","Routine,_semi-routine_or_unemployed","No_qualification","yes","rented","no","Yes","No","No","Yes","5_evenings","high","No","No","missing","missing",0.840992232537011,"35pr+"
"29",804,"yes","yes",7,8,7,"Male","Managerial_and_professional","GCSE_grades_A-C_or_equiv","yes","owned","yes","No","Yes","No","Yes","3_evenings","very_low","No","No","No","No",-0.721885072624075,"13pr-21pr"
"30",803.5,"yes","yes",7,7,7,"Female","Managerial_and_professional","GCSE_grades_A-C_or_equiv","no","owned","no","Yes","Yes","No","Yes","3_evenings","very_high","No","No","No","No",-0.698137313962829,"5pr-9pr"
"31",803.5,"yes","yes",7,7,7,"Female","Managerial_and_professional","Degree_or_equivalent","no","owned","no","Yes","Yes","No","Yes","4_evenings","very_high","No","No","No","No",-0.977142400389746,"<5pr"
"32",803,"yes","yes",5,7,6,"Male","Intermediate","Degree_or_equivalent","no","owned","no","Yes","Yes","Yes","Yes","3_evenings","very_high","No","No","No","No",-1.64583144152389,"<5pr"
"33",801,"yes","yes",6,7,7,"Female","Intermediate","No_qualification","no","owned","no","Yes","Yes","No","Yes","3_evenings","low","No","No","No","No",-0.094171874408595,"21pr-35pr"
"34",796,"yes","yes",7,8,7,"Male","Routine,_semi-routine_or_unemployed","GCE_A_Level_or_equivalent","yes","rented","no","Yes","Yes","No","Yes","5_evenings","low","No","No","No","No",0.566245634650476,"21pr-35pr"
"35",793,"yes","yes",6,6,5,"Female","Intermediate","GCSE_grades_A-C_or_equiv","no","owned","no","Yes","Yes","No","Yes","2_evenings","high","No","No","No","No",-0.189836244379978,"21pr-35pr"
"37",790,"yes","yes",7,7,6,"Female","Managerial_and_professional","Degree_or_equivalent","no","owned","no","Yes","Yes","No","Yes","3_evenings","high","No","No","No","No",-0.412778436862193,"9pr-13pr"
"38",789,"yes","yes",7,8,7,"Female","Routine,_semi-routine_or_unemployed","Degree_or_equivalent","no","owned","no","Yes","Yes","No","Yes","4_evenings","high","No","No","No","No",-1.13208867334808,"9pr-13pr"
"39",788.25,"yes","yes",6,8,7,"Male","Managerial_and_professional","GCE_A_Level_or_equivalent","no","owned","no","Yes","Yes","No","Yes","4_evenings","very_high","No","No","No","No",-1.56694681197442,"<5pr"
"40",788,"yes","yes",5,5,6,"Male","Routine,_semi-routine_or_unemployed","No_qualification","no","rented","yes","Yes","Yes","No","Yes","4_evenings","low","No","No","missing","missing",0.172771977170839,"35pr+"
"41",787,"yes","yes",7,8,7,"Female","Managerial_and_professional","Degree_or_equivalent","no","owned","no","Yes","Yes","No","Yes","5_evenings","high","No","No","No","No",-0.930379150021024,"5pr-9pr"
"43",786,"yes","yes",6,8,7,"Female","Managerial_and_professional","Degree_or_equivalent","yes","owned","no","Yes","Yes","No","Yes","3_evenings","very_high","No","No","No","No",-1.09236679033066,"<5pr"
"44",786,"yes","yes",7,7,7,"Male","Managerial_and_professional","GCE_A_Level_or_equivalent","no","owned","no","Yes","Yes","No","Yes","5_evenings","low","No","No","No","No",-0.37290208356633,"5pr-9pr"
"45",784,"yes","yes",4,6,5,"Female","Routine,_semi-routine_or_unemployed","GCE_A_Level_or_equivalent","yes","rented","no","Yes","Yes","No","Yes","5_evenings","very_high","No","No","No","No",0.72064682131947,"35pr+"
"49",779,"yes","yes",7,6,6,"Male","Managerial_and_professional","No_qualification","no","owned","no","Yes","Yes","No","Yes","5_evenings","high","No","No","No","Yes",-0.082112388657298,"5pr-9pr"
"50",776,"yes","yes",7,7,7,"Male","Intermediate","GCSE_grades_A-C_or_equiv","no","owned","no","Yes","Yes","No","Yes","3_evenings","very_high","No","No","No","No",1.08890606283515,"35pr+"
"52",774.5,"yes","yes",6,7,6,"Female","Managerial_and_professional","GCSE_grades_A-C_or_equiv","no","owned","no","Yes","Yes","No","Yes","5_evenings","low","No","No","No","No",-0.238681591399718,"13pr-21pr"
"53",773,"yes","yes",6,7,6,"Female","Routine,_semi-routine_or_unemployed","GCSE_grades_A-C_or_equiv","no","rented","no","Yes","Yes","No","Yes","3_evenings","very_high","No","No","No","No",1.29497676550264,"21pr-35pr"
"56",770,"yes","yes",7,8,7,"Female","Managerial_and_professional","Degree_or_equivalent","no","owned","no","Yes","Yes","No","Yes","5_evenings","high","No","No","No","No",-1.51280219554106,"<5pr"
"57",770,"yes","yes",7,8,7,"Female","Managerial_and_professional","Degree_or_equivalent","no","owned","no","Yes","Yes","No","Yes","4_evenings","very_high","No","No","No","No",-1.21441264285721,"<5pr"
"60",768,"yes","yes",6,8,7,"Male","Managerial_and_professional","Degree_or_equivalent","yes","owned","no","Yes","Yes","Yes","Yes","3_evenings","very_high","No","No","No","No",-0.909849142193951,"<5pr"
"61",768,"yes","yes",7,7,7,"Male","Managerial_and_professional","GCE_A_Level_or_equivalent","no","owned","no","Yes","Yes","No","Yes","3_evenings","very_high","No","No","No","No",-1.22901049650328,"13pr-21pr"
"62",767,"yes","yes",7,8,7,"Male","Intermediate","No_qualification","no","rented","no","Yes","Yes","No","Yes","5_evenings","high","No","No","No","No",-0.342201511482685,"13pr-21pr"
"63",766,"yes","yes",7,8,7,"Male","Managerial_and_professional","GCSE_grades_A-C_or_equiv","no","owned","no","Yes","Yes","No","Yes","4_evenings","low","No","No","No","No",-0.692969732682995,"<5pr"
"64",765.25,"yes","yes",7,7,7,"Female","Managerial_and_professional","GCSE_grades_A-C_or_equiv","no","owned","no","Yes","Yes","Yes","Yes","5_evenings","very_high","No","No","No","No",0.61877939565219,"35pr+"
"65",764,"yes","yes",6,6,6,"Female","Intermediate","Degree_or_equivalent","no","owned","no","Yes","Yes","Yes","Yes","4_evenings","high","No","No","No","No",-0.497414917323511,"5pr-9pr"
"66",764,"yes","yes",7,7,7,"Male","Managerial_and_professional","Degree_or_equivalent","no","owned","no","Yes","Yes","No","Yes","4_evenings","very_high","No","No","No","No",-0.30089784855546,"13pr-21pr"
"67",760,"yes","yes",6,7,6,"Male","Intermediate","GCE_A_Level_or_equivalent","no","owned","no","Yes","Yes","No","Yes","3_evenings","very_high","No","No","No","No",-1.1444050700432,"13pr-21pr"
"68",759,"yes","yes",7,8,7,"Female","Routine,_semi-routine_or_unemployed","No_qualification","yes","rented","yes","Yes","No","No","Yes","4_evenings","high","No","No","No","No",-0.116891864936661,"13pr-21pr"
"69",758.5,"yes","yes",6,7,7,"Female","Managerial_and_professional","Degree_or_equivalent","no","owned","no","Yes","Yes","Yes","Yes","3_evenings","very_high","No","No","No","No",-0.896690077248999,"5pr-9pr"
"70",758,"yes","yes",7,8,7,"Female","Routine,_semi-routine_or_unemployed","GCSE_grades_A-C_or_equiv","no","owned","no","Yes","No","No","Yes","5_evenings","very_high","No","No","No","No",1.13420514294658,"<5pr"
"72",758,"yes","yes",6,6,6,"Female","Routine,_semi-routine_or_unemployed","GCE_A_Level_or_equivalent","no","rented","no","Yes","Yes","No","Yes","3_evenings","very_high","No","No","No","No",0.851233707755519,"35pr+"
"76",754,"yes","yes",6,7,6,"Female","Managerial_and_professional","No_qualification","no","rented","no","Yes","Yes","No","Yes","3_evenings","very_high","No","No","No","No",-1.66812081118855,"5pr-9pr"
"77",754,"yes","yes",7,8,7,"Male","Routine,_semi-routine_or_unemployed","GCSE_grades_A-C_or_equiv","no","owned","no","Yes","Yes","No","Yes","5_evenings","low","No","No","No","No",-1.90318537614908,"<5pr"
"81",752,"yes","yes",6,7,6,"Male","Intermediate","GCSE_grades_A-C_or_equiv","no","rented","no","Yes","Yes","Yes","Yes","2_evenings","very_high","No","No","No","No",0.530278917556016,"<5pr"
"82",751,"yes","yes",7,8,7,"Female","Intermediate","Other_qualifications","no","owned","no","Yes","Yes","No","Yes","5_evenings","very_high","No","No","No","No",-0.094411599836584,"5pr-9pr"
"83",751,"yes","yes",7,8,7,"Male","Managerial_and_professional","Degree_or_equivalent","no","owned","no","Yes","Yes","No","Yes","3_evenings","very_low","No","No","No","No",-0.500929179450202,"<5pr"
"84",750,"yes","yes",5,6,5,"Male","Managerial_and_professional","GCSE_grades_A-C_or_equiv","no","owned","no","Yes","Yes","No","Yes","3_evenings","very_high","No","No","No","No",-0.91008985532257,"9pr-13pr"
"85",748,"yes","yes",7,8,7,"Female","Managerial_and_professional","Degree_or_equivalent","no","owned","no","Yes","Yes","No","Yes","4_evenings","high","No","No","No","No",-1.8845406391385,"5pr-9pr"
"87",748,"yes","yes",7,7,7,"Male","Managerial_and_professional","GCSE_grades_A-C_or_equiv","no","owned","no","Yes","Yes","No","Yes","2_evenings","very_high","No","No","No","No",-1.62881086720963,"9pr-13pr"
"89",746.25,"yes","yes",5,7,6,"Male","Intermediate","GCE_A_Level_or_equivalent","no","owned","yes","Yes","Yes","No","Yes","5_evenings","very_high","No","No","No","No",0.67517653980729,"5pr-9pr"
"90",746,"yes","yes",7,8,7,"Female","Managerial_and_professional","Degree_or_equivalent","no","owned","no","Yes","Yes","No","Yes","3_evenings","low","No","No","No","No",-0.841218861218359,"13pr-21pr"
"93",746,"yes","yes",7,7,6,"Male","Managerial_and_professional","No_qualification","no","owned","no","Yes","Yes","Yes","Yes","3_evenings","low","No","No","No","No",-1.27248982578579,"13pr-21pr"
"94",745,"yes","yes",5,6,5,"Female","Managerial_and_professional","HE_below_degree_level","no","owned","no","Yes","Yes","No","Yes","3_evenings","very_high","No","No","No","No",-0.13565678810879,"9pr-13pr"
"96",744,"yes","yes",5,7,7,"Female","Managerial_and_professional","Other_qualifications","no","owned","no","Yes","Yes","No","Yes","4_evenings","very_high","No","No","No","No",0.426766393283429,"13pr-21pr"
"97",743,"yes","yes",6,8,7,"Male","Managerial_and_professional","Other_qualifications","no","owned","no","Yes","Yes","No","Yes","4_evenings","low","No","No","No","No",-1.04725086069502,"5pr-9pr"
"99",739,"yes","yes",7,7,6,"Female","Intermediate","No_qualification","no","owned","no","Yes","Yes","No","Yes","3_evenings","very_high","No","No","No","No",0.526711304529882,"21pr-35pr"
"100",738,"yes","yes",6,7,7,"Female","Managerial_and_professional","GCSE_grades_A-C_or_equiv","no","owned","no","Yes","Yes","No","Yes","5_evenings","very_high","No","No","No","No",0.107765276937475,"9pr-13pr"
"102",734,"yes","yes",7,8,7,"Male","Managerial_and_professional","Degree_or_equivalent","no","owned","no","Yes","Yes","No","Yes","2_evenings","high","No","No","No","No",-0.342201511482685,"13pr-21pr"
"103",734,"yes","no",5,6,4,"Male","Routine,_semi-routine_or_unemployed","No_qualification","yes","rented","no","Yes","Yes","No","Yes","2_evenings","low","No","Yes","No","No",0.891114701103261,"35pr+"
"104",733,"yes","yes",6,7,6,"Male","Intermediate","Other_qualifications","no","owned","no","Yes","Yes","No","Yes","2_evenings","very_high","No","No","No","No",-0.491571409497829,"9pr-13pr"
"105",732,"yes","yes",6,8,7,"Male","Managerial_and_professional","GCSE_grades_A-C_or_equiv","no","owned","no","Yes","Yes","No","Yes","5_evenings","very_high","No","No","No","No",-0.991866779345527,"5pr-9pr"
"106",730,"yes","yes",7,7,6,"Male","Routine,_semi-routine_or_unemployed","HE_below_degree_level","yes","rented","yes","Yes","Yes","No","Yes","3_evenings","very_high","No","No","No","No",-0.495795022423144,"5pr-9pr"
"107",728,"yes","yes",7,8,7,"Female","Managerial_and_professional","GCE_A_Level_or_equivalent","no","owned","no","Yes","Yes","No","Yes","4_evenings","high","No","No","No","No",-0.032861729536653,"<5pr"
"108",728,"yes","yes",7,7,7,"Female","Managerial_and_professional","No_qualification","no","owned","no","Yes","Yes","No","Yes","4_evenings","high","No","No","No","No",-0.610131892196696,"5pr-9pr"
"109",728,"yes","yes",6,6,6,"Female","Managerial_and_professional","No_qualification","no","owned","no","Yes","Yes","No","Yes","4_evenings","very_high","No","No","No","No",1.26696764341684,"13pr-21pr"
"110",728,"yes","yes",7,7,7,"Male","Routine,_semi-routine_or_unemployed","GCSE_grades_A-C_or_equiv","no","owned","no","Yes","Yes","No","Yes","3_evenings","low","No","No","No","No",0.003898157529673,"21pr-35pr"
"111",728,"yes","yes",7,6,7,"Male","Managerial_and_professional","HE_below_degree_level","no","owned","no","Yes","Yes","No","Yes","4_evenings","very_high","No","No","No","No",0.006603032788866,"5pr-9pr"
"113",726,"yes","yes",7,8,7,"Female","Managerial_and_professional","Degree_or_equivalent","no","owned","no","Yes","Yes","No","Yes","5_evenings","very_high","No","No","No","No",-1.81999856317266,"<5pr"
"114",726,"yes","yes",7,7,7,"Female","Managerial_and_professional","GCSE_grades_A-C_or_equiv","no","owned","no","Yes","Yes","No","Yes","4_evenings","high","No","No","No","No",0.010262650507128,"<5pr"
"115",726,"yes","yes",6,7,6,"Female","Managerial_and_professional","GCSE_grades_A-C_or_equiv","no","owned","no","Yes","Yes","No","Yes","3_evenings","very_high","No","No","No","No",-1.60644049892552,"5pr-9pr"
"116",726,"yes","yes",6,6,6,"Male","Managerial_and_professional","GCE_A_Level_or_equivalent","no","owned","no","Yes","Yes","No","Yes","1_evening","low","No","No","No","No",-0.290924081449034,"13pr-21pr"
"118",724,"yes","yes",7,7,7,"Male","Managerial_and_professional","Degree_or_equivalent","no","owned","no","Yes","Yes","Yes","Yes","3_evenings","very_high","No","No","No","No",-1.71398105334794,"<5pr"
"119",723.25,"yes","yes",7,7,7,"Female","Managerial_and_professional","HE_below_degree_level","yes","owned","no","Yes","Yes","No","Yes","5_evenings","high","No","No","No","No",0.507523865415732,"35pr+"
"121",722.25,"yes","yes",7,7,7,"Female","Intermediate","No_qualification","yes","rented","yes","Yes","Yes","No","Yes","5_evenings","high","No","No","No","No",0.259607716228143,"13pr-21pr"
"122",722,"yes","yes",7,7,7,"Female","Routine,_semi-routine_or_unemployed","GCE_A_Level_or_equivalent","no","owned","no","Yes","Yes","No","Yes","3_evenings","high","No","No","No","No",-0.213136947236418,"13pr-21pr"
"126",720,"yes","yes",7,8,7,"Female","Managerial_and_professional","Degree_or_equivalent","yes","owned","no","Yes","Yes","Yes","Yes","4_evenings","low","No","No","No","No",0.14015438250531,"5pr-9pr"
"127",720,"yes","yes",7,6,5,"Female","Managerial_and_professional","HE_below_degree_level","no","owned","no","Yes","Yes","No","Yes","2_evenings","low","No","No","No","No",-0.335629476926621,"13pr-21pr"
"128",720,"yes","yes",7,7,7,"Male","Managerial_and_professional","GCSE_grades_A-C_or_equiv","no","owned","no","Yes","Yes","No","Yes","3_evenings","very_high","No","No","No","No",-2.4626894547289,"13pr-21pr"
"129",720,"yes","yes",6,8,6,"Male","Managerial_and_professional","HE_below_degree_level","no","owned","no","Yes","Yes","No","Yes","3_evenings","high","No","No","No","No",-0.520871227759764,"13pr-21pr"
"130",718.5,"yes","yes",6,7,6,"Female","Routine,_semi-routine_or_unemployed","No_qualification","no","owned","no","Yes","Yes","No","Yes","4_evenings","low","No","No","No","No",0.142886442838891,"21pr-35pr"
"131",718,"yes","yes",7,8,7,"Female","Managerial_and_professional","GCSE_grades_A-C_or_equiv","no","owned","no","Yes","Yes","No","Yes","3_evenings","very_high","No","No","No","No",-0.375803247368967,"13pr-21pr"
"132",718,"yes","yes",7,8,7,"Female","Managerial_and_professional","HE_below_degree_level","no","owned","no","Yes","Yes","No","Yes","5_evenings","low","No","No","No","No",1.83435661067798,"5pr-9pr"
"133",718,"yes","yes",6,7,7,"Female","Managerial_and_professional","Degree_or_equivalent","no","owned","no","Yes","Yes","Yes","Yes","5_evenings","low","No","No","No","No",0.054919879009965,"13pr-21pr"
"134",718,"yes","yes",7,8,7,"Male","Managerial_and_professional","Degree_or_equivalent","no","owned","no","Yes","Yes","No","Yes","5_evenings","very_low","No","No","No","No",-1.38391764162322,"<5pr"
"135",718,"yes","yes",6,7,7,"Male","Managerial_and_professional","GCE_A_Level_or_equivalent","no","owned","no","Yes","Yes","No","Yes","2_evenings","high","No","No","No","No",-1.812546650659,"21pr-35pr"
"136",717.5,"yes","yes",7,8,7,"Female","Managerial_and_professional","Degree_or_equivalent","no","owned","no","Yes","Yes","Yes","Yes","3_evenings","very_high","No","No","No","No",-1.17495030214694,"5pr-9pr"
"137",717.5,"yes","yes",7,8,7,"Male","Managerial_and_professional","Degree_or_equivalent","no","owned","no","Yes","Yes","Yes","Yes","3_evenings","very_high","No","No","No","No",-2.42188400815003,"<5pr"
"140",716,"yes","yes",6,7,7,"Female","Intermediate","GCE_A_Level_or_equivalent","no","owned","no","Yes","Yes","No","Yes","1_evening","very_high","No","No","No","No",-1.94628102884053,"13pr-21pr"
"141",716,"yes","no",5,6,5,"Female","Routine,_semi-routine_or_unemployed","No_qualification","no","owned","no","Yes","Yes","No","Yes","2_evenings","high","No","No","No","No",1.31946702170006,"21pr-35pr"
"142",716,"yes","yes",5,6,4,"Female","Routine,_semi-routine_or_unemployed","GCSE_grades_A-C_or_equiv","no","rented","yes","Yes","Yes","No","Yes","missing","high","No","Yes","Yes","Yes",0.552570382553187,"21pr-35pr"
"143",715.25,"yes","yes",6,7,7,"Female","Intermediate","No_qualification","no","owned","no","Yes","Yes","No","Yes","3_evenings","high","No","No","No","No",0.372475707011747,"21pr-35pr"
"144",715,"yes","yes",7,8,7,"Male","Intermediate","GCE_A_Level_or_equivalent","no","owned","no","Yes","Yes","No","Yes","5_evenings","high","No","No","No","No",-1.39225670539008,"<5pr"
"146",714,"yes","yes",7,8,7,"Female","Managerial_and_professional","HE_below_degree_level","no","owned","no","Yes","Yes","No","Yes","4_evenings","very_high","No","No","No","No",-0.208500466716249,"<5pr"
"147",714,"yes","yes",6,7,6,"Female","Intermediate","HE_below_degree_level","no","owned","no","Yes","Yes","No","Yes","4_evenings","very_high","No","No","No","No",-0.902054448287253,"13pr-21pr"
"149",713,"yes","yes",7,8,7,"Female","Managerial_and_professional","Degree_or_equivalent","no","owned","no","Yes","Yes","No","Yes","5_evenings","very_high","No","No","No","No",-0.908646366426315,"5pr-9pr"
"151",713,"yes","yes",7,8,3,"Female","Managerial_and_professional","GCSE_grades_A-C_or_equiv","no","owned","no","Yes","Yes","No","Yes","3_evenings","low","No","No","No","No",-0.424937193472715,"9pr-13pr"
"152",713,"yes","yes",7,8,7,"Male","Managerial_and_professional","HE_below_degree_level","no","owned","no","Yes","Yes","No","Yes","2_evenings","very_high","No","No","No","No",-0.81476747679075,"9pr-13pr"
"154",712,"yes","yes",7,7,7,"Female","Intermediate","GCSE_grades_A-C_or_equiv","no","owned","no","Yes","Yes","No","Yes","3_evenings","very_high","No","No","No","No",-0.74174569751147,"<5pr"
"155",712,"yes","yes",6,7,7,"Female","Intermediate","No_qualification","no","owned","no","Yes","Yes","No","Yes","2_evenings","low","No","No","No","No",-0.888278359537305,"21pr-35pr"
"156",711.5,"yes","yes",6,7,6,"Female","Managerial_and_professional","Degree_or_equivalent","no","owned","no","Yes","Yes","No","Yes","4_evenings","very_high","No","No","No","No",-0.300648143373437,"9pr-13pr"
"157",711,"yes","yes",6,7,6,"Male","Intermediate","No_qualification","no","owned","no","Yes","Yes","No","Yes","5_evenings","high","No","No","No","No",1.11149184718459,"35pr+"
"158",710,"yes","yes",6,7,6,"Female","Intermediate","Other_qualifications","no","rented","no","Yes","Yes","Yes","Yes","3_evenings","very_high","No","No","No","No",0.78985195791347,"13pr-21pr"
"160",709.5,"yes","yes",7,8,7,"Female","Intermediate","HE_below_degree_level","no","owned","no","Yes","Yes","No","Yes","3_evenings","very_high","No","No","No","No",-0.776124383446285,"5pr-9pr"
"161",709,"yes","yes",6,7,7,"Female","Managerial_and_professional","GCSE_grades_A-C_or_equiv","no","owned","no","Yes","Yes","No","Yes","missing","very_high","No","No","No","No",-1.4170045939871,"<5pr"
"162",708.5,"yes","yes",6,7,6,"Male","Intermediate","GCSE_grades_A-C_or_equiv","no","owned","no","Yes","Yes","No","Yes","2_evenings","very_high","No","No","No","No",-0.002068406354209,"13pr-21pr"
"164",708,"yes","yes",6,6,5,"Female","Intermediate","GCSE_grades_A-C_or_equiv","no","owned","no","Yes","Yes","No","Yes","5_evenings","very_high","No","No","No","No",-0.419892473179305,"<5pr"
"165",707,"yes","yes",5,8,6,"Male","Intermediate","GCE_A_Level_or_equivalent","no","owned","no","Yes","Yes","No","Yes","missing","high","No","No","No","No",-0.219815044654352,"13pr-21pr"
"166",706.5,"yes","yes",7,8,7,"Female","Routine,_semi-routine_or_unemployed","HE_below_degree_level","no","owned","no","Yes","Yes","No","Yes","5_evenings","very_high","No","No","No","No",-0.738189052089309,"<5pr"
"167",706.5,"yes","yes",7,7,7,"Male","Managerial_and_professional","Degree_or_equivalent","no","owned","no","Yes","Yes","Yes","Yes","2_evenings","very_high","No","No","No","No",-0.465079655086583,"5pr-9pr"
"168",706,"yes","yes",7,8,7,"Female","Managerial_and_professional","HE_below_degree_level","no","owned","no","Yes","Yes","No","Yes","5_evenings","very_high","No","No","No","No",-0.442592482345761,"<5pr"
"169",706,"yes","yes",7,8,7,"Male","Managerial_and_professional","No_qualification","no","owned","no","Yes","Yes","Yes","Yes","2_evenings","very_high","No","No","No","No",-2.12263399062207,"<5pr"
"170",704,"yes","yes",6,5,6,"Female","Intermediate","No_qualification","no","owned","yes","Yes","Yes","No","Yes","4_evenings","high","No","No","No","No",1.79315233388971,"35pr+"
"171",702,"yes","no",4,7,6,"Male","Routine,_semi-routine_or_unemployed","No_qualification","no","rented","yes","Yes","Yes","No","Yes","1_evening","very_high","No","No","No","No",1.06503718785223,"35pr+"
"172",702,"yes","yes",4,5,5,"Male","Routine,_semi-routine_or_unemployed","No_qualification","yes","rented","yes","Yes","Yes","No","Yes","2_evenings","very_high","No","No","missing","missing",0.895382707782315,"35pr+"
"173",701,"yes","yes",7,8,7,"Female","Managerial_and_professional","HE_below_degree_level","no","owned","no","Yes","Yes","No","Yes","2_evenings","high","No","No","No","No",-1.04381548336426,"<5pr"
"174",701,"yes","yes",7,8,7,"Female","Managerial_and_professional","Degree_or_equivalent","no","owned","no","Yes","Yes","No","Yes","5_evenings","very_high","No","No","No","No",-1.23376476552257,"9pr-13pr"
"176",701,"yes","yes",6,6,6,"Female","Routine,_semi-routine_or_unemployed","No_qualification","yes","rented","yes","Yes","Yes","No","Yes","4_evenings","very_high","No","No","missing","missing",1.02130996668444,"35pr+"
"177",701,"yes","yes",7,8,7,"Male","Managerial_and_professional","Degree_or_equivalent","no","owned","no","Yes","Yes","No","Yes","2_evenings","very_high","No","No","No","No",-1.14993513377198,"13pr-21pr"
"178",701,"yes","yes",7,7,6,"Male","Managerial_and_professional","Degree_or_equivalent","no","rented","no","Yes","Yes","No","Yes","5_evenings","very_low","No","Yes","No","No",0.625924364921658,"<5pr"
"179",701,"yes","no",5,5,5,"Male","Routine,_semi-routine_or_unemployed","No_qualification","no","rented","yes","Yes","Yes","No","Yes","3_evenings","very_high","No","No","No","No",0.557581809474953,"21pr-35pr"
"181",700,"yes","yes",6,6,6,"Female","Managerial_and_professional","HE_below_degree_level","no","owned","no","Yes","Yes","No","Yes","5_evenings","very_high","No","No","No","No",0.142243509911837,"9pr-13pr"
