"","ks4score","fiveac","fiveem","k3en","k3ma","k3sc","gender","SECshort","hiquamum","singlepar","house","fsm","parasp","computer","tuition","pupasp","homework","attitude","sen","truancy","absent","exclude","IDACI_n","FSMband"
"4864",441,"yes","yes",5,7,6,"Male","Managerial_and_professional","GCE_A_Level_or_equivalent","no","owned","no","Yes","Yes","No","Yes","missing","very_low","No","Yes","No","No",-0.9712606350132,"5pr-9pr"
"4865",441,"yes","yes",6,6,6,"Male","Intermediate","HE_below_degree_level","no","owned","no","Yes","Yes","No","Yes","3_evenings","low","No","No","No","No",-1.67261507348031,"9pr-13pr"
"4867",441,"yes","yes",5,6,6,"Male","Managerial_and_professional","Degree_or_equivalent","yes","owned","no","Yes","Yes","No","Yes","missing","low","Yes","No","No","Yes",-1.6351381522833,"<5pr"
"4868",441,"yes","yes",5,6,6,"Male","Managerial_and_professional","GCSE_grades_A-C_or_equiv","no","owned","no","Yes","Yes","No","Yes","3_evenings","very_high","No","No","No","No",-1.06433608598843,"9pr-13pr"
"4869",441,"yes","yes",6,6,5,"Male","Intermediate","GCSE_grades_A-C_or_equiv","no","owned","no","Yes","Yes","No","Yes","2_evenings","very_high","No","No","No","Yes",-0.507795350687768,"9pr-13pr"
"4870",441,"yes","yes",5,6,5,"Male","Managerial_and_professional","Degree_or_equivalent","no","owned","no","Yes","Yes","No","Yes","3_evenings","low","No","No","No","No",-0.300398456936223,"5pr-9pr"
"4871",441,"no","no",5,4,4,"Male","Intermediate","GCSE_grades_A-C_or_equiv","no","owned","no","No","Yes","No","No","1_evening","high","No","No","No","No",0.515139702170425,"9pr-13pr"
"4872",440.5,"yes","yes",6,5,5,"Female","Managerial_and_professional","Degree_or_equivalent","no","owned","no","Yes","Yes","No","Yes","4_evenings","low","No","No","No","No",-1.8072266538511,"13pr-21pr"
"4873",440.25,"yes","yes",7,6,6,"Female","Intermediate","GCE_A_Level_or_equivalent","no","other/DK/Ref","no","Yes","Yes","No","Yes","4_evenings","high","No","No","No","No",-0.523789033064819,"9pr-13pr"
"4878",440,"yes","yes",5,7,6,"Female","Routine,_semi-routine_or_unemployed","Other_qualifications","no","owned","no","Yes","Yes","No","Yes","4_evenings","very_high","No","No","No","No",-0.401111455016422,"13pr-21pr"
"4879",440,"yes","yes",5,7,6,"Female","Managerial_and_professional","No_qualification","no","rented","no","Yes","Yes","No","Yes","5_evenings","low","No","No","No","No",1.39393618075772,"35pr+"
"4881",440,"yes","yes",6,6,6,"Female","Intermediate","GCSE_grades_A-C_or_equiv","no","owned","no","Yes","Yes","No","Yes","4_evenings","low","No","No","No","No",-0.468273079641812,"9pr-13pr"
"4883",440,"yes","yes",6,6,6,"Female","Intermediate","HE_below_degree_level","no","owned","no","No","Yes","No","Yes","3_evenings","low","No","No","No","No",-0.622830747802411,"<5pr"
"4886",440,"yes","yes",6,6,5,"Female","Managerial_and_professional","GCSE_grades_A-C_or_equiv","no","owned","no","Yes","Yes","No","Yes","3_evenings","very_low","No","No","No","No",-0.27816653425325,"<5pr"
"4887",440,"yes","no",6,6,5,"Female","Managerial_and_professional","Other_qualifications","no","owned","no","Yes","Yes","No","No","missing","high","No","No","No","No",-1.49481174104044,"<5pr"
"4888",440,"yes","yes",6,6,5,"Female","Routine,_semi-routine_or_unemployed","GCSE_grades_A-C_or_equiv","no","owned","no","Yes","Yes","Yes","Yes","5_evenings","very_high","No","No","No","No",-0.23369153070909,"13pr-21pr"
