ks4score,fiveac,fiveem,k3en,k3ma,k3sc,gender,SECshort,hiquamum,singlepar,house,fsm,parasp,computer,tuition,pupasp,homework,attitude,sen,truancy,absent,exclude,IDACI_n,FSMband
796,yes,yes,7,8,7,Male,"Routine,_semi-routine_or_unemployed",GCE_A_Level_or_equivalent,yes,rented,no,Yes,Yes,No,Yes,5_evenings,low,No,No,No,No,0.566245634650476,21pr-35pr
793,yes,yes,6,6,5,Female,Intermediate,GCSE_grades_A-C_or_equiv,no,owned,no,Yes,Yes,No,Yes,2_evenings,high,No,No,No,No,-0.189836244379978,21pr-35pr
792,yes,yes,7,7,7,Female,missing,GCSE_grades_A-C_or_equiv,no,owned,no,Yes,Yes,No,Yes,4_evenings,high,No,No,No,No,0.10608506450625,9pr-13pr
790,yes,yes,7,7,6,Female,Managerial_and_professional,Degree_or_equivalent,no,owned,no,Yes,Yes,No,Yes,3_evenings,high,No,No,No,No,-0.412778436862193,9pr-13pr
789,yes,yes,7,8,7,Female,"Routine,_semi-routine_or_unemployed",Degree_or_equivalent,no,owned,no,Yes,Yes,No,Yes,4_evenings,high,No,No,No,No,-1.13208867334808,9pr-13pr
788.25,yes,yes,6,8,7,Male,Managerial_and_professional,GCE_A_Level_or_equivalent,no,owned,no,Yes,Yes,No,Yes,4_evenings,very_high,No,No,No,No,-1.56694681197442,<5pr
788,yes,yes,5,5,6,Male,"Routine,_semi-routine_or_unemployed",No_qualification,no,rented,yes,Yes,Yes,No,Yes,4_evenings,low,No,No,missing,missing,0.172771977170839,35pr+
787,yes,yes,7,8,7,Female,Managerial_and_professional,Degree_or_equivalent,no,owned,no,Yes,Yes,No,Yes,5_evenings,high,No,No,No,No,-0.930379150021024,5pr-9pr
787,yes,yes,6,8,6,Male,missing,GCSE_grades_A-C_or_equiv,no,owned,no,Yes,Yes,Yes,Yes,5_evenings,low,No,No,No,No,0.403526737435528,5pr-9pr
786,yes,yes,6,8,7,Female,Managerial_and_professional,Degree_or_equivalent,yes,owned,no,Yes,Yes,No,Yes,3_evenings,very_high,No,No,No,No,-1.09236679033066,<5pr
786,yes,yes,7,7,7,Male,Managerial_and_professional,GCE_A_Level_or_equivalent,no,owned,no,Yes,Yes,No,Yes,5_evenings,low,No,No,No,No,-0.37290208356633,5pr-9pr
784,yes,yes,4,6,5,Female,"Routine,_semi-routine_or_unemployed",GCE_A_Level_or_equivalent,yes,rented,no,Yes,Yes,No,Yes,5_evenings,very_high,No,No,No,No,0.72064682131947,35pr+
783,yes,yes,7,8,7,Female,missing,Degree_or_equivalent,yes,owned,no,Yes,Yes,No,Yes,5_evenings,very_high,No,No,No,No,-0.766911068531536,<5pr
780,yes,yes,7,8,7,Female,missing,GCE_A_Level_or_equivalent,no,owned,no,Yes,Yes,No,Yes,5_evenings,very_high,No,No,No,No,-0.099207266478311,13pr-21pr
780,yes,yes,6,7,7,Male,"Routine,_semi-routine_or_unemployed",missing,no,rented,yes,Yes,Yes,No,Yes,2_evenings,low,No,No,missing,missing,0.854209007171348,35pr+
779,yes,yes,7,6,6,Male,Managerial_and_professional,No_qualification,no,owned,no,Yes,Yes,No,Yes,5_evenings,high,No,No,No,Yes,-0.082112388657298,5pr-9pr
776,yes,yes,7,7,7,Male,Intermediate,GCSE_grades_A-C_or_equiv,no,owned,no,Yes,Yes,No,Yes,3_evenings,very_high,No,No,No,No,1.08890606283515,35pr+
775,yes,yes,7,8,7,Female,missing,HE_below_degree_level,no,owned,no,Yes,Yes,No,Yes,5_evenings,low,No,No,No,No,-1.59045733692728,<5pr
774.5,yes,yes,6,7,6,Female,Managerial_and_professional,GCSE_grades_A-C_or_equiv,no,owned,no,Yes,Yes,No,Yes,5_evenings,low,No,No,No,No,-0.238681591399718,13pr-21pr
773,yes,yes,6,7,6,Female,"Routine,_semi-routine_or_unemployed",GCSE_grades_A-C_or_equiv,no,rented,no,Yes,Yes,No,Yes,3_evenings,very_high,No,No,No,No,1.29497676550264,21pr-35pr
773,yes,yes,6,7,6,Female,missing,GCSE_grades_A-C_or_equiv,no,owned,no,Yes,Yes,No,Yes,5_evenings,high,No,No,No,No,0.145699972583263,35pr+
771,yes,yes,5,7,7,Female,missing,No_qualification,no,rented,yes,Yes,No,No,Yes,4_evenings,very_high,No,No,missing,missing,1.81625999962652,35pr+
770,yes,yes,7,8,7,Female,Managerial_and_professional,Degree_or_equivalent,no,owned,no,Yes,Yes,No,Yes,5_evenings,high,No,No,No,No,-1.51280219554106,<5pr
770,yes,yes,7,8,7,Female,Managerial_and_professional,Degree_or_equivalent,no,owned,no,Yes,Yes,No,Yes,4_evenings,very_high,No,No,No,No,-1.21441264285721,<5pr
