ks4score,fiveac,fiveem,k3en,k3ma,k3sc,gender,SECshort,hiquamum,singlepar,house,fsm,parasp,computer,tuition,pupasp,homework,attitude,sen,truancy,absent,exclude,IDACI_n,FSMband
559,yes,yes,6,8,7,Male,Managerial_and_professional,Degree_or_equivalent,no,owned,no,Yes,Yes,No,Yes,4_evenings,high,No,No,No,No,-0.959848933915027,5pr-9pr
559,yes,yes,6,7,6,Male,Managerial_and_professional,GCSE_grades_A-C_or_equiv,no,owned,no,Yes,Yes,No,Yes,3_evenings,low,No,No,No,No,-1.6128333891634,<5pr
559,yes,yes,5,7,6,Male,Managerial_and_professional,No_qualification,no,owned,no,Yes,Yes,No,Yes,5_evenings,very_high,No,No,No,No,0.153181591711301,9pr-13pr
559,yes,yes,5,7,6,Male,Managerial_and_professional,HE_below_degree_level,no,owned,no,Yes,Yes,Yes,Yes,3_evenings,missing,No,No,No,No,-0.492379505596025,5pr-9pr
559,yes,no,6,4,6,Male,"Routine,_semi-routine_or_unemployed",No_qualification,no,rented,yes,Yes,Yes,No,Yes,2_evenings,low,No,No,No,No,1.22142738806519,35pr+
558,yes,yes,6,8,7,Female,missing,HE_below_degree_level,no,owned,no,Yes,Yes,No,Yes,3_evenings,low,No,No,No,No,-0.369152285807563,<5pr
558,yes,yes,7,7,7,Female,Managerial_and_professional,HE_below_degree_level,no,owned,no,Yes,Yes,No,Yes,3_evenings,missing,No,No,No,No,-2.33335304069936,9pr-13pr
558,yes,yes,6,7,6,Female,Managerial_and_professional,GCE_A_Level_or_equivalent,no,owned,no,Yes,Yes,Yes,Yes,3_evenings,very_high,No,No,No,No,-1.13632670538659,<5pr
558,yes,yes,7,6,6,Female,Managerial_and_professional,Degree_or_equivalent,no,owned,no,Yes,Yes,Yes,Yes,3_evenings,very_high,No,No,No,No,0.187163902571557,13pr-21pr
558,yes,yes,6,6,6,Female,Intermediate,GCE_A_Level_or_equivalent,yes,owned,no,Yes,Yes,Yes,Yes,3_evenings,very_high,No,No,No,No,-0.085146032985736,<5pr
558,yes,yes,5,7,5,Female,missing,No_qualification,no,rented,yes,Yes,Yes,No,Yes,3_evenings,low,No,No,missing,missing,1.87661443835866,9pr-13pr
558,yes,yes,6,6,5,Female,Intermediate,GCSE_grades_A-C_or_equiv,no,rented,yes,No,Yes,No,Yes,2_evenings,very_high,No,Yes,No,No,2.51740732295081,13pr-21pr
558,yes,yes,5,6,5,Female,"Routine,_semi-routine_or_unemployed",GCE_A_Level_or_equivalent,no,rented,yes,Yes,Yes,No,Yes,3_evenings,very_high,No,No,missing,missing,0.117532684150016,9pr-13pr
558,yes,yes,5,6,5,Female,Managerial_and_professional,GCE_A_Level_or_equivalent,no,owned,no,Yes,Yes,Yes,No,3_evenings,high,No,No,No,No,-0.705362613339135,21pr-35pr
558,yes,no,5,6,5,Female,Managerial_and_professional,HE_below_degree_level,no,owned,no,Yes,Yes,No,Yes,2_evenings,low,No,Yes,No,No,-0.840992232537011,13pr-21pr
558,yes,yes,6,8,7,Male,Managerial_and_professional,Degree_or_equivalent,no,owned,no,Yes,Yes,No,No,4_evenings,low,No,No,No,No,-1.36813045844677,5pr-9pr
558,yes,yes,7,7,7,Male,Managerial_and_professional,Degree_or_equivalent,no,owned,no,Yes,Yes,No,Yes,4_evenings,high,No,No,No,No,-0.66492021060178,<5pr
558,yes,yes,6,7,7,Male,Intermediate,GCSE_grades_A-C_or_equiv,no,owned,no,Yes,Yes,No,Yes,4_evenings,low,No,No,No,No,-2.33335304069936,9pr-13pr
558,yes,yes,5,8,6,Male,Managerial_and_professional,No_qualification,no,owned,no,Yes,Yes,Yes,Yes,4_evenings,very_high,No,No,No,No,-0.033339315304586,5pr-9pr
558,yes,yes,7,7,6,Male,Intermediate,GCSE_grades_A-C_or_equiv,no,owned,no,Yes,Yes,No,Yes,2_evenings,very_low,No,No,No,No,0.605729654405203,35pr+
558,yes,yes,6,7,6,Male,"Routine,_semi-routine_or_unemployed",GCSE_grades_A-C_or_equiv,yes,rented,yes,Yes,Yes,No,Yes,missing,high,No,No,missing,missing,1.17067752500308,35pr+
558,yes,yes,6,7,6,Male,Managerial_and_professional,missing,no,owned,no,Yes,Yes,No,Yes,3_evenings,high,No,No,missing,missing,0.051494208299115,13pr-21pr
558,yes,yes,6,7,6,Male,missing,GCSE_grades_A-C_or_equiv,no,owned,no,Yes,Yes,No,Yes,5_evenings,very_high,No,No,No,No,0.409661809473193,<5pr
558,yes,yes,6,7,6,Male,"Routine,_semi-routine_or_unemployed",GCE_A_Level_or_equivalent,no,owned,no,Yes,Yes,No,Yes,4_evenings,low,No,No,No,No,-0.265289291597699,13pr-21pr
558,yes,yes,6,7,6,Male,Managerial_and_professional,Degree_or_equivalent,no,owned,no,Yes,Yes,No,Yes,5_evenings,very_high,No,Yes,No,No,-2.05173418270041,<5pr
558,yes,yes,5,7,6,Male,Intermediate,No_qualification,yes,rented,yes,Yes,Yes,No,Yes,1_evening,high,No,Yes,No,No,1.84866359859528,35pr+
558,yes,yes,7,6,6,Male,Intermediate,Other_qualifications,no,owned,no,Yes,Yes,No,Yes,1_evening,missing,No,No,No,No,1.96348545232145,35pr+
558,yes,yes,6,6,6,Male,Intermediate,GCSE_grades_A-C_or_equiv,no,owned,no,Yes,Yes,No,Yes,1_evening,very_low,No,No,No,No,-0.077643123824502,5pr-9pr
558,yes,yes,5,6,5,Male,Intermediate,HE_below_degree_level,no,owned,no,Yes,Yes,No,Yes,4_evenings,very_high,No,No,No,No,-1.37937188594378,9pr-13pr
558,yes,no,4,5,5,Male,"Routine,_semi-routine_or_unemployed",GCE_A_Level_or_equivalent,yes,rented,yes,No,Yes,No,No,3_evenings,very_high,No,No,No,Yes,1.9711987737624,21pr-35pr
557,yes,yes,6,7,6,Female,Managerial_and_professional,Degree_or_equivalent,no,owned,no,Yes,Yes,No,Yes,5_evenings,high,No,No,No,No,-1.059721872599,5pr-9pr
557,yes,yes,7,6,6,Female,"Routine,_semi-routine_or_unemployed",No_qualification,no,owned,no,Yes,Yes,No,Yes,3_evenings,missing,No,No,missing,missing,-0.712317308090704,13pr-21pr
557,yes,no,7,6,6,Female,Managerial_and_professional,HE_below_degree_level,no,owned,no,Yes,Yes,No,Yes,3_evenings,very_high,No,No,No,No,-0.410180970299791,5pr-9pr
557,yes,yes,6,6,6,Female,missing,GCE_A_Level_or_equivalent,no,owned,no,Yes,Yes,Yes,Yes,5_evenings,high,No,No,No,No,-1.16266451490098,<5pr
557,yes,yes,5,6,5,Female,"Routine,_semi-routine_or_unemployed",GCE_A_Level_or_equivalent,no,owned,no,Yes,Yes,No,No,1_evening,very_low,No,No,No,No,-1.37301447812397,9pr-13pr
557,yes,yes,5,5,5,Female,Intermediate,GCSE_grades_A-C_or_equiv,no,owned,no,No,Yes,No,Yes,2_evenings,very_high,No,No,No,No,-0.532752760464612,5pr-9pr
557,yes,yes,6,7,7,Male,missing,HE_below_degree_level,no,owned,no,Yes,Yes,No,Yes,5_evenings,very_high,No,missing,No,No,-0.932097459452095,5pr-9pr
557,yes,yes,6,7,6,Male,"Routine,_semi-routine_or_unemployed",GCE_A_Level_or_equivalent,yes,owned,no,Yes,Yes,No,Yes,2_evenings,high,No,No,No,No,-1.89834150343616,13pr-21pr
557,yes,yes,5,6,6,Male,Intermediate,GCE_A_Level_or_equivalent,no,owned,no,No,Yes,Yes,Yes,2_evenings,high,No,No,No,No,-0.87140798387916,5pr-9pr
557,yes,yes,6,5,6,Male,Intermediate,GCSE_grades_A-C_or_equiv,no,owned,no,Yes,Yes,No,Yes,4_evenings,very_low,No,No,No,No,-1.87522786796462,5pr-9pr
557,yes,no,4,5,5,Male,"Routine,_semi-routine_or_unemployed",missing,no,owned,yes,Yes,Yes,No,Yes,none,high,No,No,No,Yes,1.1600100407886,35pr+
556.75,yes,yes,5,6,5,Male,Intermediate,GCE_A_Level_or_equivalent,yes,owned,no,Yes,Yes,No,Yes,4_evenings,low,No,No,No,No,-0.283711210911711,9pr-13pr
556.5,yes,yes,6,6,6,Female,Intermediate,HE_below_degree_level,no,owned,no,Yes,Yes,Yes,Yes,5_evenings,very_high,No,No,No,No,-0.245808892761916,5pr-9pr
556,yes,yes,6,8,7,Female,Managerial_and_professional,Degree_or_equivalent,no,owned,no,Yes,Yes,No,Yes,5_evenings,missing,No,No,No,No,-0.981254080419341,5pr-9pr
556,yes,yes,6,8,7,Female,Managerial_and_professional,Other_qualifications,no,other/DK/Ref,no,Yes,Yes,No,Yes,5_evenings,very_high,No,No,No,No,0.73599695916396,13pr-21pr
556,yes,yes,7,7,7,Female,Managerial_and_professional,Degree_or_equivalent,no,owned,no,Yes,Yes,No,Yes,5_evenings,very_high,No,No,No,No,-0.96136325903745,<5pr
556,yes,yes,7,7,7,Female,"Routine,_semi-routine_or_unemployed",GCE_A_Level_or_equivalent,yes,rented,no,Yes,Yes,No,Yes,4_evenings,very_low,No,Yes,No,No,0.429469254904051,13pr-21pr
556,yes,yes,6,7,7,Female,Managerial_and_professional,HE_below_degree_level,no,owned,no,Yes,Yes,No,Yes,2_evenings,high,No,No,No,No,-1.50559690258957,<5pr
556,yes,yes,6,7,7,Female,Intermediate,No_qualification,no,owned,no,Yes,Yes,Yes,Yes,5_evenings,very_high,No,No,No,No,-0.169865692458977,<5pr
556,yes,yes,6,7,6,Female,Managerial_and_professional,HE_below_degree_level,no,owned,no,Yes,Yes,No,Yes,5_evenings,very_high,No,No,No,No,-0.688526253623363,5pr-9pr
556,yes,yes,6,6,6,Female,Managerial_and_professional,GCSE_grades_A-C_or_equiv,yes,owned,no,Yes,Yes,Yes,Yes,4_evenings,high,No,No,No,No,0.418068574987342,5pr-9pr
556,yes,yes,6,6,6,Female,missing,Other_qualifications,no,owned,no,Yes,Yes,No,Yes,5_evenings,very_high,No,No,No,No,-0.717864786359689,<5pr
556,yes,yes,6,7,5,Female,"Routine,_semi-routine_or_unemployed",GCSE_grades_A-C_or_equiv,no,owned,no,Yes,Yes,No,Yes,2_evenings,high,No,No,No,No,-1.47563622077854,<5pr
556,yes,yes,6,7,5,Female,Managerial_and_professional,GCSE_grades_A-C_or_equiv,no,owned,no,Yes,Yes,No,Yes,3_evenings,high,No,No,No,No,-0.68933314582725,5pr-9pr
556,yes,yes,6,6,5,Female,Managerial_and_professional,HE_below_degree_level,no,owned,no,Yes,Yes,No,Yes,5_evenings,high,No,No,No,No,0.712932610029437,21pr-35pr
556,yes,yes,5,6,5,Female,Intermediate,No_qualification,no,owned,no,No,Yes,No,No,5_evenings,very_high,No,No,No,No,0.640115962891238,35pr+
556,yes,yes,5,6,5,Female,Intermediate,missing,no,owned,no,Yes,Yes,No,Yes,4_evenings,high,No,No,missing,missing,0.640115962891238,35pr+
556,yes,yes,5,5,5,Female,Intermediate,GCE_A_Level_or_equivalent,no,owned,no,No,Yes,No,Yes,3_evenings,very_low,No,No,No,No,-0.27601717914658,5pr-9pr
556,yes,no,5,5,5,Female,Intermediate,GCSE_grades_A-C_or_equiv,no,owned,no,Yes,Yes,No,No,1_evening,very_high,No,No,No,No,-0.042653892357588,13pr-21pr
556,yes,no,6,5,4,Female,"Routine,_semi-routine_or_unemployed",No_qualification,no,owned,no,Yes,Yes,No,Yes,5_evenings,high,No,No,missing,missing,1.75701522961101,35pr+
556,yes,yes,5,4,4,Female,Intermediate,No_qualification,no,owned,no,Yes,Yes,No,Yes,3_evenings,very_high,No,No,No,No,-1.68236104949483,35pr+
556,yes,yes,7,8,7,Male,missing,HE_below_degree_level,no,owned,no,Yes,Yes,No,Yes,3_evenings,low,No,No,No,No,-0.419718708492346,5pr-9pr
556,yes,yes,7,8,7,Male,Managerial_and_professional,HE_below_degree_level,no,owned,no,Yes,Yes,No,Yes,5_evenings,very_high,No,No,No,No,-1.90562415440468,<5pr
556,yes,yes,6,7,7,Male,Managerial_and_professional,Other_qualifications,no,owned,no,Yes,Yes,No,Yes,4_evenings,low,No,No,No,No,-0.320936640379489,<5pr
556,yes,yes,6,7,7,Male,Intermediate,GCE_A_Level_or_equivalent,no,owned,no,No,Yes,No,No,4_evenings,very_high,No,No,No,No,-0.185706825973452,<5pr
556,yes,yes,6,7,7,Male,Managerial_and_professional,GCSE_grades_A-C_or_equiv,no,owned,no,Yes,Yes,No,Yes,2_evenings,high,No,No,No,Yes,-0.665714304365309,5pr-9pr
556,yes,yes,6,7,6,Male,"Routine,_semi-routine_or_unemployed",GCSE_grades_A-C_or_equiv,no,owned,no,No,Yes,No,No,2_evenings,very_low,No,No,No,No,-0.473962117901981,13pr-21pr
556,yes,yes,5,7,6,Male,Managerial_and_professional,No_qualification,no,owned,no,Yes,Yes,No,Yes,1_evening,low,No,missing,No,No,-0.15696586282878,13pr-21pr
556,yes,yes,6,6,6,Male,"Routine,_semi-routine_or_unemployed",No_qualification,no,rented,yes,Yes,Yes,No,Yes,3_evenings,very_high,No,No,missing,missing,0.778276461217539,35pr+
556,yes,no,6,6,5,Male,"Routine,_semi-routine_or_unemployed",Other_qualifications,yes,owned,yes,Yes,Yes,No,Yes,4_evenings,very_high,No,Yes,No,Yes,1.00641329961484,35pr+
556,yes,no,5,6,5,Male,Managerial_and_professional,Degree_or_equivalent,no,owned,no,Yes,Yes,No,Yes,3_evenings,high,No,No,No,No,0.245480929518942,13pr-21pr
555,yes,yes,7,8,7,Female,missing,HE_below_degree_level,no,owned,no,No,Yes,No,No,5_evenings,missing,No,No,No,No,-0.453939660692272,<5pr
555,yes,yes,7,7,7,Female,Managerial_and_professional,GCE_A_Level_or_equivalent,no,owned,no,Yes,Yes,No,Yes,5_evenings,very_high,No,No,No,No,-0.775049691648134,<5pr
555,yes,yes,7,7,7,Female,Managerial_and_professional,GCE_A_Level_or_equivalent,no,owned,no,Yes,Yes,No,Yes,4_evenings,low,No,No,missing,missing,-1.00892464479113,<5pr
555,yes,yes,6,7,6,Female,"Routine,_semi-routine_or_unemployed",GCE_A_Level_or_equivalent,no,owned,no,Yes,Yes,No,Yes,3_evenings,high,No,No,No,No,-0.08913886896652,13pr-21pr
555,yes,yes,6,7,6,Female,Managerial_and_professional,Degree_or_equivalent,no,owned,no,Yes,Yes,No,Yes,5_evenings,very_low,No,No,No,No,-2.37396065105704,5pr-9pr
555,yes,no,6,6,6,Female,Intermediate,GCSE_grades_A-C_or_equiv,no,owned,no,Yes,Yes,No,Yes,3_evenings,low,No,Yes,No,No,-1.15860803424785,13pr-21pr
555,yes,yes,6,8,7,Male,Managerial_and_professional,Degree_or_equivalent,no,owned,no,Yes,Yes,Yes,Yes,3_evenings,very_low,No,No,No,No,-0.743422662473691,5pr-9pr
555,yes,yes,7,7,7,Male,Managerial_and_professional,HE_below_degree_level,no,owned,no,Yes,Yes,No,Yes,4_evenings,low,No,No,No,No,-0.449270648968062,<5pr
555,yes,yes,6,7,7,Male,missing,No_qualification,no,owned,yes,Yes,Yes,No,Yes,1_evening,high,No,No,No,No,0.204843255716944,<5pr
555,yes,yes,6,7,7,Male,Intermediate,GCSE_grades_A-C_or_equiv,no,owned,no,Yes,Yes,No,Yes,4_evenings,low,No,No,No,No,-0.019253265611587,<5pr
555,yes,yes,6,7,6,Male,Managerial_and_professional,Degree_or_equivalent,no,owned,no,Yes,Yes,No,Yes,2_evenings,very_high,No,No,No,No,-0.230095758901042,9pr-13pr
555,yes,yes,6,7,6,Male,"Routine,_semi-routine_or_unemployed",GCSE_grades_A-C_or_equiv,no,owned,no,Yes,Yes,No,Yes,4_evenings,very_low,No,Yes,No,No,0.65305856958115,13pr-21pr
554.5,yes,yes,7,8,7,Female,Managerial_and_professional,GCSE_grades_A-C_or_equiv,no,owned,no,Yes,Yes,No,Yes,4_evenings,very_low,No,Yes,No,No,-1.44898706953473,<5pr
554.5,yes,yes,7,8,7,Male,Managerial_and_professional,GCSE_grades_A-C_or_equiv,no,other/DK/Ref,no,Yes,Yes,No,Yes,5_evenings,high,No,missing,No,No,-1.77440994330819,13pr-21pr
554.25,yes,yes,7,7,7,Female,Managerial_and_professional,GCSE_grades_A-C_or_equiv,yes,owned,no,Yes,Yes,No,Yes,2_evenings,very_high,No,No,No,No,1.18147991714035,35pr+
554.25,yes,yes,6,7,7,Female,Managerial_and_professional,Degree_or_equivalent,no,owned,no,Yes,Yes,No,Yes,missing,very_high,No,No,No,No,-0.142806072998327,5pr-9pr
554.25,yes,yes,6,6,6,Female,missing,GCSE_grades_A-C_or_equiv,no,owned,no,Yes,Yes,No,Yes,missing,low,No,No,No,No,-0.37725501474641,13pr-21pr
554,yes,yes,6,7,7,Female,"Routine,_semi-routine_or_unemployed",No_qualification,no,rented,yes,Yes,Yes,No,Yes,5_evenings,very_high,No,No,No,No,1.67390537419984,35pr+
554,yes,yes,6,7,7,Female,Intermediate,GCSE_grades_A-C_or_equiv,yes,rented,no,Yes,Yes,No,Yes,5_evenings,very_high,No,No,No,No,-0.438910386293747,<5pr
554,yes,yes,6,7,7,Female,Managerial_and_professional,No_qualification,no,owned,no,Yes,Yes,No,Yes,3_evenings,missing,No,No,No,No,-2.04076112175618,5pr-9pr
554,yes,yes,6,7,7,Female,Managerial_and_professional,GCE_A_Level_or_equivalent,no,owned,no,Yes,Yes,No,Yes,3_evenings,high,No,No,No,No,-1.40858773773498,5pr-9pr
554,yes,yes,6,6,6,Female,"Routine,_semi-routine_or_unemployed",GCSE_grades_A-C_or_equiv,yes,rented,no,Yes,Yes,No,Yes,3_evenings,high,No,No,No,No,2.01043803294647,21pr-35pr
554,yes,yes,6,6,6,Female,Managerial_and_professional,Degree_or_equivalent,no,owned,no,Yes,Yes,No,Yes,5_evenings,very_low,No,No,No,No,-1.59668784540749,5pr-9pr
554,yes,yes,6,6,6,Female,Managerial_and_professional,HE_below_degree_level,no,owned,no,Yes,Yes,No,Yes,5_evenings,high,No,No,No,No,0.194698537043558,9pr-13pr
554,yes,yes,6,6,6,Female,Managerial_and_professional,Degree_or_equivalent,no,owned,no,Yes,Yes,Yes,Yes,4_evenings,very_high,No,No,No,No,-1.40430983956246,5pr-9pr
554,yes,yes,6,5,6,Female,Managerial_and_professional,GCE_A_Level_or_equivalent,no,owned,no,Yes,Yes,Yes,Yes,5_evenings,very_high,No,No,No,No,-0.754268672147542,9pr-13pr
554,yes,yes,6,6,5,Female,missing,GCE_A_Level_or_equivalent,no,rented,no,Yes,Yes,No,Yes,2_evenings,high,No,No,No,No,1.09251127132609,21pr-35pr
554,yes,no,5,6,5,Female,"Routine,_semi-routine_or_unemployed",No_qualification,no,owned,yes,Yes,Yes,No,Yes,5_evenings,very_high,No,No,missing,missing,1.13830131768149,35pr+
554,yes,yes,5,6,5,Female,Intermediate,Other_qualifications,yes,owned,no,Yes,Yes,No,Yes,5_evenings,high,No,No,No,No,0.448566744943661,13pr-21pr
554,yes,yes,6,5,5,Female,Intermediate,GCSE_grades_A-C_or_equiv,no,owned,no,Yes,Yes,No,Yes,2_evenings,very_low,No,No,No,No,-0.444435779917563,5pr-9pr
554,yes,no,5,5,5,Female,"Routine,_semi-routine_or_unemployed",No_qualification,no,owned,no,Yes,Yes,No,Yes,1_evening,low,No,No,No,No,1.320988409985,35pr+
554,yes,yes,7,8,7,Male,Managerial_and_professional,Degree_or_equivalent,no,rented,no,Yes,Yes,Yes,Yes,3_evenings,high,No,No,No,No,-0.584457316472405,5pr-9pr
554,yes,yes,6,8,7,Male,Managerial_and_professional,No_qualification,no,owned,no,Yes,Yes,Yes,Yes,3_evenings,very_high,No,No,No,No,-2.40433367254461,<5pr
554,yes,yes,5,7,7,Male,Managerial_and_professional,HE_below_degree_level,yes,rented,yes,Yes,Yes,No,Yes,2_evenings,high,No,missing,No,No,0.27601717914658,21pr-35pr
554,yes,yes,7,7,6,Male,Managerial_and_professional,GCSE_grades_A-C_or_equiv,no,owned,no,Yes,Yes,No,Yes,2_evenings,very_high,No,No,No,No,0.867113178410326,13pr-21pr
554,yes,yes,7,7,6,Male,Managerial_and_professional,GCSE_grades_A-C_or_equiv,no,owned,no,Yes,Yes,No,Yes,2_evenings,low,No,No,No,No,-1.50116367429067,<5pr
554,yes,yes,6,7,6,Male,Managerial_and_professional,Other_qualifications,no,owned,no,Yes,Yes,No,Yes,4_evenings,very_low,No,No,No,No,-2.5720995035609,<5pr
554,yes,yes,6,6,6,Male,Managerial_and_professional,No_qualification,no,owned,no,Yes,Yes,Yes,Yes,5_evenings,low,No,No,No,No,-1.51230275371703,5pr-9pr
554,yes,yes,6,6,5,Male,missing,GCE_A_Level_or_equivalent,no,rented,no,Yes,Yes,No,Yes,1_evening,high,No,No,No,No,2.0932871197279,21pr-35pr
554,yes,yes,6,6,5,Male,Managerial_and_professional,missing,yes,owned,yes,Yes,Yes,No,Yes,3_evenings,low,No,Yes,No,No,1.23444622650712,21pr-35pr
554,yes,yes,5,6,5,Male,Intermediate,HE_below_degree_level,no,owned,no,Yes,Yes,Yes,Yes,1_evening,very_high,No,No,No,No,-0.878757993002274,5pr-9pr
554,yes,yes,5,6,5,Male,Managerial_and_professional,GCSE_grades_A-C_or_equiv,no,owned,no,Yes,Yes,No,Yes,2_evenings,missing,No,No,No,No,0.480380685007041,5pr-9pr
553.5,yes,yes,7,7,6,Female,missing,Degree_or_equivalent,no,owned,no,Yes,Yes,Yes,Yes,4_evenings,low,No,No,No,No,-0.463750461922471,<5pr
553.5,yes,yes,7,6,6,Female,Managerial_and_professional,Degree_or_equivalent,no,other/DK/Ref,no,Yes,Yes,No,Yes,5_evenings,very_high,No,No,No,No,-1.70438328924216,<5pr
553.5,yes,yes,7,7,7,Male,Managerial_and_professional,Degree_or_equivalent,no,owned,no,No,Yes,No,Yes,5_evenings,high,No,No,No,No,-1.6154677651546,5pr-9pr
553,yes,yes,6,8,7,Female,"Routine,_semi-routine_or_unemployed",GCSE_grades_A-C_or_equiv,no,owned,no,Yes,Yes,No,Yes,5_evenings,very_high,No,No,No,No,0.259607716228143,<5pr
553,yes,yes,6,7,7,Female,Intermediate,No_qualification,no,owned,no,Yes,Yes,Yes,Yes,5_evenings,very_high,No,No,No,No,0.778061091328296,<5pr
553,yes,yes,7,8,6,Female,Managerial_and_professional,GCSE_grades_A-C_or_equiv,no,owned,no,Yes,Yes,No,Yes,5_evenings,very_high,No,No,No,No,-0.597435574869951,<5pr
553,yes,yes,6,6,6,Female,Managerial_and_professional,GCE_A_Level_or_equivalent,no,owned,no,Yes,Yes,No,Yes,3_evenings,low,No,No,No,No,-0.068310450229042,<5pr
553,yes,yes,5,6,5,Female,Intermediate,No_qualification,yes,rented,yes,Yes,No,No,Yes,5_evenings,very_high,No,No,No,No,0.932588910693639,21pr-35pr
553,yes,yes,6,5,5,Female,missing,No_qualification,no,rented,yes,Yes,Yes,No,Yes,3_evenings,high,No,No,missing,missing,0.21118419219295,21pr-35pr
553,yes,no,5,4,5,Female,"Routine,_semi-routine_or_unemployed",Other_qualifications,no,rented,no,Yes,Yes,No,Yes,3_evenings,high,No,Yes,No,No,1.10063891281914,13pr-21pr
553,yes,yes,7,7,7,Male,missing,missing,missing,other/DK/Ref,no,Yes,Yes,No,Yes,2_evenings,missing,No,No,No,No,-0.110486268146627,9pr-13pr
553,yes,yes,7,7,7,Male,Managerial_and_professional,GCE_A_Level_or_equivalent,yes,owned,yes,Yes,Yes,No,Yes,3_evenings,very_high,No,No,No,No,-1.60269352983505,<5pr
553,yes,yes,6,7,6,Male,Managerial_and_professional,HE_below_degree_level,no,owned,no,Yes,Yes,No,Yes,4_evenings,very_low,No,No,No,No,-0.170188541689956,<5pr
553,yes,yes,5,7,6,Male,Intermediate,No_qualification,no,owned,no,Yes,Yes,No,Yes,3_evenings,high,No,No,Yes,No,2.5720995035609,35pr+
553,yes,yes,6,6,5,Male,Intermediate,GCE_A_Level_or_equivalent,no,owned,no,Yes,Yes,Yes,Yes,3_evenings,low,No,No,No,No,-0.88403719415996,5pr-9pr
553,yes,no,5,5,5,Male,"Routine,_semi-routine_or_unemployed",Other_qualifications,no,owned,no,No,Yes,No,Yes,none,very_high,No,No,No,No,0.936528660534254,21pr-35pr
552.75,yes,yes,6,6,5,Male,Managerial_and_professional,GCSE_grades_A-C_or_equiv,no,owned,no,No,Yes,No,No,1_evening,very_low,No,No,No,No,0.062968828685171,9pr-13pr
552.25,yes,yes,7,7,7,Female,Managerial_and_professional,HE_below_degree_level,no,owned,no,Yes,Yes,No,Yes,3_evenings,high,No,No,No,No,-0.237699474332643,<5pr
552.25,yes,yes,6,7,7,Female,Managerial_and_professional,GCE_A_Level_or_equivalent,no,owned,no,Yes,Yes,No,Yes,3_evenings,high,No,No,No,No,-0.988619401982951,<5pr
552.25,yes,yes,6,6,5,Female,Intermediate,GCSE_grades_A-C_or_equiv,no,rented,no,Yes,Yes,No,Yes,3_evenings,very_low,No,No,No,No,0.341611113659268,9pr-13pr
552,yes,yes,7,7,7,Female,Managerial_and_professional,Degree_or_equivalent,no,owned,no,Yes,Yes,No,Yes,3_evenings,low,No,missing,No,No,-1.5944150407626,<5pr
552,yes,yes,7,7,7,Female,Managerial_and_professional,missing,yes,owned,no,Yes,Yes,No,Yes,4_evenings,high,No,No,No,No,0.022515693839299,35pr+
552,yes,yes,7,7,7,Female,Managerial_and_professional,Degree_or_equivalent,no,owned,no,Yes,Yes,No,Yes,3_evenings,very_high,No,No,No,No,-1.78097648441947,<5pr
552,yes,yes,7,7,7,Female,Managerial_and_professional,Degree_or_equivalent,yes,owned,no,Yes,Yes,No,Yes,3_evenings,very_high,No,No,No,No,-1.16595492438885,5pr-9pr
552,yes,yes,6,7,7,Female,Managerial_and_professional,GCSE_grades_A-C_or_equiv,no,owned,no,Yes,Yes,No,Yes,3_evenings,very_low,No,No,No,No,-0.091215701411865,9pr-13pr
552,yes,yes,7,6,7,Female,"Routine,_semi-routine_or_unemployed",No_qualification,no,rented,yes,No,Yes,No,Yes,3_evenings,very_high,No,No,No,No,1.13269286124867,35pr+
552,yes,yes,7,7,6,Female,missing,GCSE_grades_A-C_or_equiv,no,owned,no,Yes,Yes,No,Yes,1_evening,low,No,No,No,No,0.338239688015625,21pr-35pr
552,yes,yes,6,7,6,Female,Managerial_and_professional,Degree_or_equivalent,no,owned,no,Yes,Yes,No,Yes,4_evenings,low,No,No,No,No,-0.933941564529335,<5pr
552,yes,yes,7,6,6,Female,Managerial_and_professional,GCSE_grades_A-C_or_equiv,no,owned,no,Yes,Yes,No,Yes,3_evenings,high,No,No,No,No,0.017423214889496,9pr-13pr
552,yes,yes,6,6,6,Female,Intermediate,Other_qualifications,no,owned,no,Yes,Yes,No,Yes,4_evenings,very_low,No,No,No,No,-0.532019430690924,<5pr
552,yes,yes,6,6,6,Female,Intermediate,GCE_A_Level_or_equivalent,no,owned,no,Yes,Yes,No,Yes,2_evenings,low,No,No,missing,No,-0.919519177978198,<5pr
552,yes,yes,6,6,6,Female,Intermediate,HE_below_degree_level,yes,owned,no,Yes,Yes,No,No,4_evenings,low,No,Yes,No,No,-0.248843811404243,5pr-9pr
552,yes,yes,6,6,5,Female,Managerial_and_professional,Degree_or_equivalent,no,owned,no,Yes,Yes,No,Yes,3_evenings,very_high,No,No,No,No,-0.147308220420733,5pr-9pr
552,yes,yes,6,6,5,Female,Managerial_and_professional,GCE_A_Level_or_equivalent,no,owned,no,Yes,Yes,No,Yes,4_evenings,very_high,No,Yes,No,No,-0.686309607165151,5pr-9pr
552,yes,no,5,4,4,Female,Intermediate,No_qualification,no,owned,no,Yes,Yes,No,Yes,2_evenings,very_low,No,No,Yes,No,1.45103570117119,21pr-35pr
552,yes,yes,6,8,7,Male,Managerial_and_professional,Degree_or_equivalent,no,owned,no,Yes,Yes,No,Yes,1_evening,low,No,No,No,No,-2.12949582528958,5pr-9pr
